Location,Weather,Description,Temperature,Pressure,Humidity,Wind_Speed,Datetime,Timezone
London,Clouds,broken clouds,288.76,1021,79,2.57,1717399705,3600
Birmingham,Clouds,broken clouds,287.72,1023,85,3.09,1717399379,3600
Manchester,Clouds,broken clouds,287.56,1023,89,1.03,1717399738,3600
Liverpool,Rain,light rain,287.46,1021,91,5.66,1717399974,3600
Leeds,Clouds,few clouds,287.9,1017,84,6.69,1717399706,3600
Bristol,Clouds,scattered clouds,289.27,1023,81,2.06,1717399414,3600
Sheffield,Clouds,overcast clouds,288.55,1042,69,0.45,1717399637,3600
Leicester,Clouds,overcast clouds,288.13,1022,86,4.37,1717399506,3600
Coventry,Clouds,broken clouds,288.23,1023,84,3.6,1717399975,3600
Kingston upon Hull,Clouds,overcast clouds,288.16,1020,41,3.6,1717399975,3600
Bradford,Clouds,scattered clouds,287.28,1021,87,2.57,1717399961,3600
Stoke-on-Trent,Clouds,overcast clouds,286.91,1018,67,1.79,1717399976,3600
Wolverhampton,Clouds,overcast clouds,287.4,1022,86,5.63,1717399976,3600
Nottingham,Clouds,few clouds,288.32,1022,84,4.12,1717399976,3600
Plymouth,Clouds,overcast clouds,287.77,1023,86,1.34,1717399976,3600
Southampton,Clear,clear sky,288.94,1021,77,4.63,1717399977,3600
Reading,Clouds,broken clouds,288.17,1022,80,1.34,1717399977,3600
Derby,Clouds,few clouds,288.29,1022,86,4.12,1717399977,3600
Dudley,Clouds,overcast clouds,287.29,1023,85,5.2,1717399977,3600
Dallington,Clouds,overcast clouds,288.33,1008,87,1.79,1717399977,3600
Portsmouth,Clouds,overcast clouds,288.84,1021,79,2.68,1717399978,3600
Luton,Clouds,broken clouds,287.96,1022,84,4.63,1717399978,3600
Preston,Mist,mist,287.21,1023,88,3.09,1717399709,3600
Milton Keynes,Clouds,broken clouds,288.16,1022,86,3.09,1717399908,3600
Sunderland,Clouds,overcast clouds,288.72,1020,81,5.53,1717399978,3600
Norwich,Clouds,broken clouds,288.62,1022,85,2.57,1717399978,3600
Walsall,Clouds,overcast clouds,287.59,1023,86,2.68,1717399979,3600
Bournemouth,Clouds,overcast clouds,289.01,1023,81,1.34,1717399686,3600
Swindon,Clouds,few clouds,288.37,1022,79,3.6,1717399979,3600
Southend-on-Sea,Clouds,broken clouds,288.0,1021,83,2.57,1717399979,3600
Middlesbrough,Clouds,few clouds,288.78,1019,77,3.09,1717399980,3600
Warrington,Clouds,broken clouds,288.0,1025,88,3.6,1717399980,3600
Huddersfield,Clouds,overcast clouds,287.45,1029,87,1.79,1717399534,3600
